
x=   2, y= -27, z= 198 
x=   2, y= -27, z= 197 
x=   2, y= -27, z= 197 
x=   2, y= -30, z= 195 
x=   1, y= -30, z= 195 
x=   1, y= -30, z= 198 
x=  -1, y= -26, z= 198 
x=  -1, y= -26, z= 198 
x=   1, y= -26, z= 199 
x=   1, y= -26, z= 199 
x=   1, y= -29, z= 194 
x=   5, y= -29, z= 194 
x=   5, y= -29, z= 201 
x=  -2, y= -25, z= 201 
x=  -2, y= -25, z= 201 
x=  -2, y= -28, z= 196 
x=  -2, y= -28, z= 196 
x=  -2, y= -26, z= 199 
x=   1, y= -26, z= 199 
x=   1, y= -26, z= 195 
x=   3, y= -26, z= 195 
x=   3, y= -26, z= 195 
x=   0, y= -26, z= 199 
x=   0, y= -26, z= 199 
x=   0, y= -29, z= 196 
x=   1, y= -29, z= 196 
x=   1, y= -29, z= 196 
x=   2, y= -27, z= 196 
x=   2, y= -27, z= 196 
x=   0, y= -27, z= 197 
x=   0, y= -27, z= 197 
x=  -1, y= -28, z= 197 
x=  -1, y= -28, z= 197 
x=  -1, y= -28, z= 196 
x=   0, y= -28, z= 196 
x=   0, y= -28, z= 196 
x=   0, y= -28, z= 196 
x=   0, y= -28, z= 196 
x=   2, y= -28, z= 198 
x=   2, y= -28, z= 198 
x=   2, y= -29, z= 196 
x=   2, y= -29, z= 196 
x=   2, y= -29, z= 199 
x=   1, y= -27, z= 199 
x=   1, y= -27, z= 199 
x=   2, y= -27, z= 197 
x=   2, y= -27, z= 197 
x=   2, y= -27, z= 196 
x=   0, y= -27, z= 196 
x=   0, y= -27, z= 197 
x=   0, y= -27, z= 197 
x=   0, y= -27, z= 197 
x=   2, y= -26, z= 199 
x=   2, y= -26, z= 199 
x=   2, y= -27, z= 198 
x=   1, y= -27, z= 198 
x=   1, y= -27, z= 195 
x=   1, y= -29, z= 195 
x=   1, y= -29, z= 195 
x=   1, y= -28, z= 196 
x=   1, y= -28, z= 196 
x=   1, y= -28, z= 198 
x=   0, y= -28, z= 198 
x=   0, y= -28, z= 197 
x=   0, y= -27, z= 197 
x=   0, y= -27, z= 197 
x=   0, y= -27, z= 197 
x=   0, y= -27, z= 197 
x=   0, y= -28, z= 196 
x=   1, y= -28, z= 196 
x=   1, y= -28, z= 197 
x=   1, y= -27, z= 197 
x=   1, y= -27, z= 197 
x=   1, y= -27, z= 195 
x=   1, y= -27, z= 195 
x=   1, y= -27, z= 195 
x=   2, y= -27, z= 195 
x=   2, y= -27, z= 196 
x=   1, y= -25, z= 196 
x=   1, y= -25, z= 196 
x=   1, y= -28, z= 197 
x=   1, y= -28, z= 197 
x=   1, y= -28, z= 199 
x=   1, y= -28, z= 199 
x=   1, y= -28, z= 198 
x=   0, y= -27, z= 198 
x=   0, y= -27, z= 198 
x=   2, y= -28, z= 197 
x=   2, y= -28, z= 197 
x=   2, y= -29, z= 195 
x=   1, y= -29, z= 195 
x=   1, y= -29, z= 198 
x=   1, y= -27, z= 198 
x=   1, y= -27, z= 198 
x=   0, y= -28, z= 197 
x=   0, y= -28, z= 197 
x=   0, y= -27, z= 196 
x=   0, y= -27, z= 196 
x=   0, y= -27, z= 197 
x=   2, y= -27, z= 197 
x=   2, y= -27, z= 197 
x=   2, y= -27, z= 198 
x=   2, y= -27, z= 198 
x=   2, y= -29, z= 197 
x=   2, y= -29, z= 197 
x=   2, y= -27, z= 199 
x=   1, y= -27, z= 199 
x=   1, y= -27, z= 199 
x=   1, y= -27, z= 196 
x=   1, y= -27, z= 196 
x=   2, y= -29, z= 195 
x=   2, y= -29, z= 195 
x=   2, y= -26, z= 197 
x=   1, y= -26, z= 197 
x=   1, y= -26, z= 198 
x=   2, y= -27, z= 198 
x=   2, y= -27, z= 198 
x=   0, y= -26, z= 196 
x=   0, y= -26, z= 196 
x=   0, y= -27, z= 195 
x=   1, y= -27, z= 195 
x=   1, y= -27, z= 196 
x=   1, y= -28, z= 196 
x=   1, y= -28, z= 196 
x=   0, y= -29, z= 198 
x=   0, y= -29, z= 198 
x=   0, y= -28, z= 197 
x=   0, y= -28, z= 197 
x=   0, y= -28, z= 196 
x=   1, y= -27, z= 196 
x=   1, y= -27, z= 196 
x=   1, y= -29, z= 196 
x=   1, y= -29, z= 196 
x=   1, y= -29, z= 196 
x=   0, y= -29, z= 196 
x=   0, y= -29, z= 196 
x=   0, y= -29, z= 196 
x=   0, y= -29, z= 196 
x=   1, y= -27, z= 196 
x=   1, y= -27, z= 196 
x=   1, y= -28, z= 196 
x=   2, y= -28, z= 196 
x=   2, y= -28, z= 198 
x=   2, y= -27, z= 198 
x=   2, y= -27, z= 198 
x=   1, y= -27, z= 198 
x=   1, y= -27, z= 198 
x=   1, y= -28, z= 197 
x=   2, y= -28, z= 197 
x=   2, y= -28, z= 198 
x=   1, y= -27, z= 198 
x=   1, y= -27, z= 198 
x=   1, y= -28, z= 195 
x=   1, y= -28, z= 195 
x=   1, y= -29, z= 196 
x=   1, y= -29, z= 196 
x=   1, y= -29, z= 198 
x=   0, y= -27, z= 198 
x=   0, y= -27, z= 198 
x=   1, y= -27, z= 198 
x=   1, y= -27, z= 198 
x=   1, y= -28, z= 197 
x=   1, y= -28, z= 197 
x=   1, y= -28, z= 196 
x=   1, y= -28, z= 196 
x=   1, y= -28, z= 196 
x=   1, y= -28, z= 198 
x=   1, y= -28, z= 198 
x=   1, y= -29, z= 195 
x=   1, y= -29, z= 195 
x=   1, y= -29, z= 198 
x=   0, y= -27, z= 198 
x=   0, y= -27, z= 198 
x=   1, y= -28, z= 196 
x=   1, y= -28, z= 196 
x=   1, y= -28, z= 197 
x=   1, y= -28, z= 197 
x=   1, y= -28, z= 197 
x=   1, y= -28, z= 197 
x=   1, y= -28, z= 199 
x=   1, y= -28, z= 199 
x=   1, y= -28, z= 199 
x=   1, y= -27, z= 197 
x=   1, y= -27, z= 197 
x=   1, y= -29, z= 196 
x=   1, y= -29, z= 196 
x=   1, y= -29, z= 197 
x=   1, y= -26, z= 197 
x=   1, y= -26, z= 197 
x=   0, y= -27, z= 195 
x=   0, y= -27, z= 195 
x=   0, y= -27, z= 196 
x=   0, y= -27, z= 196 
x=   0, y= -27, z= 198 
x=   1, y= -27, z= 198 
x=   1, y= -27, z= 198 
x=   1, y= -27, z= 197 
x=   1, y= -27, z= 197 
x=   1, y= -28, z= 196 
x=   1, y= -28, z= 196 
x=   1, y= -28, z= 196 
x=   2, y= -28, z= 196 
x=   2, y= -28, z= 196 
x=   2, y= -27, z= 197 
x=   2, y= -27, z= 197 
x=   2, y= -27, z= 197 
x=   1, y= -27, z= 197 
x=   1, y= -27, z= 199 
x=   1, y= -27, z= 199 
x=   1, y= -27, z= 199 
x=   0, y= -27, z= 196 
x=   0, y= -27, z= 196 
x=   0, y= -27, z= 197 
x=   0, y= -27, z= 197 
x=   0, y= -27, z= 198 
x=   1, y= -28, z= 198 
x=   1, y= -28, z= 198 
x=   1, y= -27, z= 197 
x=   1, y= -27, z= 197 
x=   1, y= -26, z= 196 
x=   1, y= -26, z= 196 
x=   1, y= -26, z= 198 
x=   0, y= -27, z= 198 
x=   0, y= -27, z= 198 
x=   1, y= -27, z= 197 
x=   1, y= -27, z= 197 
x=   1, y= -28, z= 198 
x=   1, y= -28, z= 198 
x=   1, y= -28, z= 199 
x=   1, y= -28, z= 199 
x=   1, y= -28, z= 199 
x=   1, y= -27, z= 196 
x=   1, y= -27, z= 196 
x=   1, y= -26, z= 195 
x=   1, y= -26, z= 195 
x=   1, y= -26, z= 197 
x=   1, y= -26, z= 197 
x=   1, y= -26, z= 197 
x=   0, y= -27, z= 198 
x=   0, y= -27, z= 198 
x=   1, y= -27, z= 197 
x=   1, y= -27, z= 197 
x=   1, y= -27, z= 197 
x=   0, y= -28, z= 197 
x=   0, y= -28, z= 197 
x=   2, y= -28, z= 196 
x=   2, y= -28, z= 196 
x=   1, y= -27, z= 197 
x=   1, y= -27, z= 197 
x=   1, y= -28, z= 194 
x=   1, y= -28, z= 194 
x=   1, y= -28, z= 196 
x=   0, y= -27, z= 196 
x=   0, y= -27, z= 196 
x=   1, y= -27, z= 196 
x=   1, y= -27, z= 196 
x=   1, y= -28, z= 197 
x=   0, y= -28, z= 197 
x=   0, y= -28, z= 197 
x=   1, y= -27, z= 197 
